вратарь|Так в старину называли сторожа городских ворот
фуникулер|Железная дорога с канатной тягой, устраиваемая на крутых подьемах
абсент|Анисовая настойка или ликер
воротник|Что мексиканцы изготовляли из волокнистой древесины кактусов
черепаха|Какое животное дало название распространенному в Древнем Риме способу боевого построения?
бергамот|Цитрусовое дерево с ароматными цветками
баклажан|Название этого растения произошло от греческого «порождающий чистоту»
колибри|Эта птица может летать спиной вперед
хибара|Бедный, неказистый домишко, избенка
торонто|В метро этого города для того, чтобы играть в переходах, нужно еще получить специальную лицензию
кабачок|Овощ, чьи полезные вещества используют для борьбы с подагрой
структура|Зная это, мы можем понять, как работает устройство
улитка|У этих животных, считающихся в некоторых странах деликатесом, зубы расположены на языке
бассейн|В Чили находится самое крупное сооружение подобного типа. Его длина – 1 километр.
павлин|Впервые этот вид тропической птицы был открыт в 1758 году Карлом Линнеем. Их песни можно услышать перед грозой или началом муссонов
манишка|Белый нагрудник на мужской сорочке
стремянка|Одно из первых изображений этого полезного устройства найдено в пещере белее 10000 лет назад
кувшин|Что изготавливал в старину скудельник?
утконос|Единственное ядовитое млекопитающее в мире
испания|По одной из версий, название этой страны с одного из древних языков можно перевести как берег кроликов
валентин|Этот праздник посвящен мученику и судя по всему справедливо, с учетом того, сколько денег тратят в этот день
сосиска|Это вкусное изделие появилось в средневековой Германии, а приобрело современный вид в начале 19 века
нагайка|Это оружие применялось для охоты на волков и лис. При таком способе охоты необходимо было нанести удар по носу зверя
подорожник|Какая трава была названа индейцами «следом белого человека»
шотландский|В этом языке нет слов «да» и «нет», а согласие или несогласие выражается полными предложениями
нефрит|И болезнь, и камень
полоса|В старой русской деревне небольшой узкий участок пахотной земли
смежник|В производстве продукции это лицо, связанное с другим
плакат|До 2 половины 19 века так иногда называли крупные гравюры агитационного характера
несчастье|Лучший учитель по Бальзаку
селекция|Противовес «естественного отбора», созданный человеком
кариес|Что считается самой распространенной в мире незаразной болезнью
бунгало|Легкая загородная постройка с верандой, распространенная в тропических странах
бисер|Предмет, совершенно не интересующий свиней
мудрец|Кто по мнению китайского литератора и философа Джан Джао, не является не добрый и не злой?
скакалка|Спортивный снаряд для физических упражнений взрослых и детей
треуголка|Головной убор 17 века, пришедший на смену широкополой шляпе, как более практичный для переноса оружия на плече
трафарет|Приспособление для массового производства граффити
фреска|Живопись по сырой штукатурке водяными красками
земледелец|Что в переводе с древнегреческого языка означает слово Георгий
предок|О чем бестактно расспрашивать австралийца
гранит|Что проводит звук в десять раз быстрее воздуха
вокалист|Участник музыкального коллектива
камикадзе|С японского это слово переводится как «Божественный ветер»
лопата|Как называлась раньше карточная масть пики
вышивание|Широко распространенный вид декоративно прикладного искусства
пример|Лучший способ демонстрации
полкан|Один из самых распространенных персонажей в истории русской игрушки
золушка|Эта сказочная героиня была описана в греческой истории под именем Родопис
святой|Кто спит на спине, согласно мнению китайских мудрецов
бедлам|В переносном смысле сумасшедший дом, хаос, неразбериха
банджо|Какой музыкальный инструмент имеет голову, гребень, натянутый обруч и подлокотник
грешник|Кто спит на животе, согласно мнению Китайских мудрецов
морковь|Минута смеха так же полезна, как один килограмм … чего?
диагональ|Геометрический термин, широко используемый в характеристике современной техники
очки|Что запрещалось носить в Царско Сельском лицее?
крокодил|Детеныши этого животного приобретают пол в зависимости от температуры окружающей среды
дальтонизм|Этот недуг не позволил Илье Репину в преклонном возрасте исправить свою знаменитую картину Иван Грозный и сын его Иван
негодяй|Изначально это слово обозначало человека, непригодного к военной службе
кувшинка|Это красивое растение на Руси называли «одолень трава»
промах|Причина увеличения беговой дистанции биатлониста
церковь|Что пышно украшалось березой и зеленью на русском селе в Троицу
брусника|Эту ягоду пытались культивировать начиная с 19 века, но полноценно это удалось лишь в 60-х годах 20 века
инфляция|Этот термин произошел от латинского слова, переводимого на русский как «вздутие»
попугай|Склонный к употреблению одних и тех же фраз чаще, чем хотелось бы
вечность|С чем в шутку сравнивал Островский соленый огурец?
атлас|Как звали мифического царя Ливии, якобы впервые изготовившего небесный глобус
память|Что еще было феноменального у Шаляпина кроме голоса?
майонез|Что было изобретено французским полководцем Луи Крильонским?
плевок|Что нужно было спрятать, чтобы лишить колдунов Маори возможности навредить?
бестия|Наглый мошенник, ловкий и дерзкий плут
расческа|Предмет гигиены. В мифологии он являлся символом женственности
ватикан|Единственная страна, где за 1983 год не зарегистрировано ни одного рождения
сержант|В 11 веке в Англии так называли землевладельцев, державших свои участки под условием исполнения определенной службы королю
революция|Что английские новые дворяне в 17 веке называли добрым старым делом
наставник|Этот человек не помешает, когда занимаешься чем то новым
метелица|Русский народный танец с быстрой сменой фигур и разнообразными кружениями
запой|Для лечения чего применялся московскими цирюльниками конский навоз
италия|Название какой страны происходит от молочного животного
рулетка|Какой строительный инструмент по легенде изобрел Дедал
шиллинг|Эта иностранная монета в простонародье получила название «боб»
наина|Какое женское имя придумал Пушкин?
гобой|Что Американская музыкальная конференция 1977 года определила как плохой деревянный духовой инструмент, на котором никто не умеет играть?
хозяин|Организм, в котором живет паразит
клоака|Древнеримская подземная канализация
автомат|Машина, способная изменять режим своего функционирования по определенной программе
навоз|Что являлось главной составляющей частью бани, которую наши предки использовали для излечении радикулита и ревматизма?
хрусталь|Этот материал был известен в Египте и Месопотамии, но в современном виде был получен только в 17 веке
аспид|Этим словом няня поэта Арина Родионовна называла всех злодеев
свинина|По мнению Древних Ирландцев это должно было присутствовать в изобилии в раю
фатализм|Вера в предопределенность событий
коновал|Знахарь, специализирующийся на лечении лошадей
кандидат|С Греческого языка это слово переводится, как «одетый в белое»
абсурд|Дословно это слово переводится с латинского как «от глухого»
цветы|Что не принято приносить с собой в гости в Китае, чтобы не оскорбить хозяев
яичница|Какое блюдо подавали на стол последним в прощеное воскресенье
жираф|У этого животного самое высокое кровяное давление
горностай|Хищное млекопитающее
лапоть|Что нужно подсунуть под печь, чтобы домовой отправился вслед за переезжающей в новую избу семьей?
пословица|Изречение, обобщающее различные явления жизни
спираль|Обязательный элемент женского и парного фигурного катания
пищаль|Первые ружья и пушки Древней Руси
шарманка|Название этого инструмента произошло от первого слова песни, которая чаще всего на нем исполнялась